Position,Player,Squad,Age,Market_Value,Performance_Score,Predicted_Score,Rank
Defender,Fabio Chiarodia,Gladbach,19.0,2000000.0,3.3878756356911697,2.7050156909059693,1
Defender,Noahkai Banks,Augsburg,17.0,150000.0,3.0425115207373272,2.699851266108458,2
Defender,James Hill,Bournemouth,22.0,2000000.0,2.47734693877551,2.4289418915949863,3
Defender,Fellipe Jack,Como,18.0,200000.0,2.5652255639097747,2.3424422115498946,4
Defender,Yarek Gasiorowski,Valencia,19.0,15000000.0,2.2632928275044457,2.2320593571043417,5
Defender,Chadi Riad,Crystal Palace,21.0,15000000.0,2.228048780487805,2.214465825783144,6
Defender,El Chadaille Bitshiabu,RB Leipzig,19.0,12000000.0,2.233759485318376,2.146713481724109,7
Defender,Luca Marianucci,Empoli,20.0,800000.0,2.094175978417397,2.1294974582234683,8
Defender,Mattia Viti,Empoli,22.0,6500000.0,1.9787269480304732,2.1170346925287653,9
Defender,Dean Huijsen,Bournemouth,19.0,18000000.0,2.2010028490028484,2.116155599071582,10
Midfielder,Romain Esse,Crystal Palace,19.0,5000000.0,1.2142857142857144,0.9941705684372693,1
Midfielder,Pablo Torre,Barcelona,21.0,7500000.0,1.0197860962566845,0.9309779864856947,2
Midfielder,Brajan Gruda,Brighton,20.0,25000000.0,1.026226672258335,0.9236135988644648,3
Midfielder,Arda Güler,Real Madrid,19.0,45000000.0,0.9780969355441155,0.896266759246736,4
Midfielder,Harvey Elliott,Liverpool,21.0,35000000.0,0.8915803541597063,0.8877764146476601,5
Midfielder,Amad Diallo,Manchester Utd,22.0,25000000.0,0.8863220950963598,0.8786811699617224,6
Midfielder,Jacob Ondrejka,Parma,21.0,7000000.0,0.8781621712179595,0.8519554924722796,7
Midfielder,Matìas Soulé,Roma,21.0,22000000.0,0.8657226717436141,0.8479692158024156,8
Midfielder,Florian Wirtz,Leverkusen,21.0,140000000.0,0.8684535662414646,0.846412125682625,9
Midfielder,Jude Bellingham,Real Madrid,21.0,180000000.0,0.7632246376811594,0.8345569936893417,10
Forward,Keke Maximilian Topp,Werder Bremen,20.0,4000000.0,0.6504285714285715,0.5329972181746628,1
Forward,Mika Biereth,Monaco,21.0,13000000.0,0.6272058823529413,0.5245192901985105,2
Forward,Youssoufa Moukoko,Nice,19.0,18000000.0,0.6264782608695653,0.5236760097065164,3
Forward,Bradley Barcola,Paris S-G,21.0,65000000.0,0.48858901049810144,0.4720222777174341,4
Forward,Lucas Stassin,Saint-Étienne,19.0,5000000.0,0.43874242424242427,0.4716356186311704,5
Forward,Daniel Jebbison,Bournemouth,20.0,1200000.0,0.4646153846153846,0.46583646493834724,6
Forward,Nick Woltemade,Stuttgart,22.0,7500000.0,0.45811111111111114,0.46319059596281614,7
Forward,Samuel Iling-Junior,Bologna,20.0,11000000.0,0.4471153846153846,0.4565912703602843,8
Forward,Arnaud Kalimuendo,Rennes,22.0,20000000.0,0.40539716166186757,0.447798882518862,9
Forward,Michael Olise,Bayern Munich,22.0,65000000.0,0.45323857412229507,0.4450245343548105,10
Goalkeeper,Frank Feller,Heidenheim,20.0,350000.0,3.9,1.0783698829885857,1
Goalkeeper,Julen Agirrezabala,Athletic Club,23.0,15000000.0,0.8435103896103896,0.9747939527307029,2
Goalkeeper,Théo De Percin,Auxerre,23.0,100000.0,0.6765,0.9465777596160093,3
Goalkeeper,Mark Travers,Bournemouth,25.0,4000000.0,0.7127272727272728,0.9075923302726081,4
Goalkeeper,Matej Kovar,Leverkusen,24.0,7000000.0,0.7367272727272727,0.8724725477374581,5
Goalkeeper,Joan García,Espanyol,23.0,10000000.0,0.6280333333333333,0.8719823908881179,6
Goalkeeper,Lucas Chevalier,Lille,22.0,30000000.0,0.6964206896551723,0.8719823908881179,7
Goalkeeper,Hákon Rafn Valdimarsson,Brentford,22.0,2500000.0,0.6738805970149253,0.8683305916721838,8
Goalkeeper,Lasse Rieß,Mainz 05,23.0,200000.0,0.6477272727272727,0.848062997991563,9
Goalkeeper,Arnau Tenas,Paris S-G,23.0,4000000.0,0.6477272727272727,0.848062997991563,10
